City,Colors Reported,Shape Reported,State,Time,sightings,Year
Baltimore,,OVAL,MD,1947-06-30 18:00:00,2,1947
Cashmere,,FORMATION,WA,1947-07-01 20:00:00,3,1947
Maywood,,DISK,CA,1947-07-01 20:00:00,3,1947
Wexford,BLUE,LIGHT,PA,1947-07-01 20:00:00,3,1947
Sioux Falls,,LIGHT,SD,1947-07-04 00:00:00,2,1947
Seattle,,OVAL,WA,1947-07-04 17:30:00,2,1947
Dell Rapids,,LIGHT,SD,1947-07-05 00:00:00,2,1947
Philadelphia,,DISK,PA,1947-07-05 11:30:00,2,1947
Roswell,,LIGHT,NM,1947-07-07 00:00:00,1,1947
Johnston City,,DISK,IL,1947-07-09 20:00:00,1,1947
Roswell,,LIGHT,NM,1947-07-11 00:00:00,1,1947
Syracuse,,CIGAR,NY,1947-07-14 10:30:00,2,1947
Richmond,,CIRCLE,CA,1947-07-14 11:00:00,2,1947
Las Vegas,,DISK,NV,1947-07-15 10:00:00,7,1947
Keeneyville,,FORMATION,IL,1947-07-15 12:00:00,7,1947
Clintwood,,CYLINDER,VA,1947-07-15 15:00:00,7,1947
Hazelton,,DISK,ID,1947-07-15 15:00:00,7,1947
Minneapolis,,DISK,MN,1947-07-15 17:00:00,7,1947
Morehouse,,CYLINDER,MO,1947-07-15 21:00:00,7,1947
San Jose,BLUE,CHEVRON,CA,1947-07-15 21:00:00,7,1947
Raton,,OVAL,NM,1947-07-20 22:00:00,1,1947
Modesto,BLUE,DISK,CA,1947-08-08 22:00:00,1,1947
Green Valley,,LIGHT,WI,1947-08-10 20:00:00,1,1947
Henrietta,,LIGHT,OK,1947-08-12 01:00:00,2,1947
Saranac Lake,,DISK,NY,1947-08-12 22:00:00,2,1947
Proctor,,CIGAR,OK,1947-08-15 20:15:00,1,1947
Whitmore Lake,,CIGAR,MI,1947-12-24 21:00:00,1,1947
Kelseyville,,DISK,CA,1948-04-30 12:00:00,1,1948
Scipio,RED,SPHERE,IN,1948-05-10 19:00:00,1,1948
Borger,,DISK,TX,1948-06-15 16:00:00,1,1948
Baltimore,,OVAL,MD,1948-06-30 00:00:00,2,1948
Jim Ridge,,LIGHT,WV,1948-06-30 08:00:00,2,1948
Ojai,,LIGHT,CA,1948-07-15 22:00:00,1,1948
New York City,,CIRCLE,NY,1948-08-01 02:00:00,1,1948
Conshohocken,,OVAL,PA,1948-08-15 12:00:00,1,1948
Sharpsburg,,CIRCLE,MD,1948-12-12 23:30:00,1,1948
Seattle,,DISK,WA,1949-04-10 15:00:00,1,1949
Oak Ridge,,OTHER,WV,1949-05-01 14:00:00,1,1949
Grays,,LIGHT,SC,1949-05-15 06:30:00,1,1949
Los Angeles,,CIRCLE,CT,1949-06-04 10:00:00,1,1949
Anchorage,,DISK,AK,1949-06-10 21:00:00,1,1949
Knoxville,,OTHER,TN,1949-06-30 15:00:00,2,1949
Salem,,CIGAR,OR,1949-06-30 21:00:00,2,1949
Fairbanks,,DISK,AK,1949-07-01 11:00:00,2,1949
Marion,,FORMATION,AL,1949-07-01 16:00:00,2,1949
Booneville,,LIGHT,MS,1949-07-15 20:30:00,1,1949
Excelsior,,CIRCLE,MN,1949-08-15 00:00:00,3,1949
Mill Valley,,LIGHT,CA,1949-08-15 21:00:00,3,1949
Tarrant City,ORANGE,CIRCLE,AL,1949-08-15 22:00:00,3,1949
Steilacoom,,DISK,WA,1949-08-25 19:00:00,1,1949
Mt Gilead,,CIRCLE,OH,1949-09-15 21:00:00,2,1949
Post,,DISK,TX,1949-09-15 21:00:00,2,1949
San Marcos,,CYLINDER,TX,1949-10-10 20:30:00,2,1949
Lackland AFB,,LIGHT,TX,1949-10-10 21:00:00,2,1949
Baltimore,,CIGAR,MD,1949-10-15 20:00:00,1,1949
Mount Hope,,LIGHT,WV,1950-01-01 22:00:00,1,1950
New York City,,OVAL,NY,1950-01-02 00:00:00,1,1950
Roswell,RED,LIGHT,NM,1950-03-22 00:00:00,1,1950
Arkansas,,DISK,AR,1950-04-15 08:00:00,2,1950
Waynesborough,,DISK,VA,1950-04-15 14:00:00,2,1950
Fort Lewis,,SpaceShip,WA,1950-05-12 14:00:00,1,1950
Crowder,,LIGHT,MS,1950-06-01 00:00:00,3,1950
Philadelphia,,DISK,MS,1950-06-01 16:00:00,3,1950
Pittsburgh,,OVAL,PA,1950-06-01 20:00:00,3,1950
Kensington,,OVAL,MD,1950-06-07 20:00:00,1,1950
Kansas City,,DISK,MO,1950-06-08 10:00:00,1,1950
Napa,GREEN,DISK,CA,1950-06-10 00:00:00,1,1950
Grosse Pointe Park,,OVAL,MI,1950-06-15 13:00:00,3,1950
Bonifay,,DISK,FL,1950-06-15 20:00:00,3,1950
Fort Worth,,DISK,TX,1950-06-15 20:00:00,3,1950
Booneville,,DISK,MS,1950-06-20 10:00:00,2,1950
Galveston,,SPHERE,TX,1950-06-20 17:00:00,2,1950
Lac Du Flambeau,,DISK,WI,1950-06-30 16:00:00,3,1950
Florence,,DISK,CO,1950-06-30 17:30:00,3,1950
Florence,,LIGHT,CO,1950-06-30 17:30:00,3,1950
Coeur d'Alene,ORANGE,CIGAR,ID,1950-07-02 13:00:00,2,1950
Bay St. Louis,,LIGHT,MS,1950-07-02 21:00:00,2,1950
East Palestine,,LIGHT,OH,1950-07-10 20:30:00,1,1950
Newark,,SPHERE,NJ,1950-07-15 21:30:00,2,1950
Los Padres National Forest,,FORMATION,CA,1950-07-15 23:00:00,2,1950
Smithport,,DISK,PA,1950-07-20 21:30:00,1,1950
Louisville,,OTHER,KY,1950-08-01 04:00:00,1,1950
Stanfield,,DISK,OR,1950-08-15 14:00:00,1,1950
Pikeville,,DISK,KY,1950-10-01 11:00:00,1,1950
Sandy Hook,,SpaceShip,NJ,1950-10-15 15:00:00,1,1950
Half Moon Bay,,OTHER,CA,1950-12-12 22:00:00,1,1950
Palm Springs,,CIGAR,CA,1951-01-20 04:30:00,1,1951
Thompsonville,,DISK,CT,1951-02-03 22:00:00,1,1951
Los Angeles,,DISK,CA,1951-02-15 11:00:00,1,1951
Irving,BLUE,DISK,KS,1951-04-15 00:30:00,1,1951
Fort Sill,,OVAL,OK,1951-05-15 03:00:00,1,1951
Oklahoma,,CIGAR,OK,1951-06-01 19:00:00,1,1951
Jasper,,OVAL,NC,1951-06-03 13:00:00,1,1951
Mount Pinos,,DISK,CA,1951-06-06 02:00:00,1,1951
Greenville,GREEN,DISK,MS,1951-06-15 20:30:00,1,1951
Jackson Heights,,DISK,NY,1951-06-30 07:00:00,2,1951
Birmingham,,LIGHT,AL,1951-06-30 19:00:00,2,1951
Otis Orchards,,DISK,WA,1951-07-01 03:00:00,2,1951
Atlanta,,LIGHT,GA,1951-07-01 14:00:00,2,1951
Calaveras County,,DISK,CA,1951-07-03 03:00:00,2,1951
Green River,GREEN,SPHERE,WY,1951-07-03 12:00:00,2,1951
Provo,BLUE,DISK,UT,1951-07-10 23:30:00,1,1951
Spokane Valley,,SPHERE,WA,1951-07-15 14:00:00,1,1951
Sunland,,CIRCLE,CA,1951-08-10 01:00:00,1,1951
Altoona,,DISK,PA,1951-08-15 13:00:00,1,1951
Jacksonville,,DISK,FL,1951-10-15 20:00:00,1,1951
Holloman AFB,,CIRCLE,NM,1951-11-15 06:00:00,1,1951
Salt Lake City,,LIGHT,UT,1952-01-01 00:00:00,1,1952
Binghamton,,DISK,NY,1952-02-10 21:00:00,1,1952
Nellis AFB,,DISK,NV,1952-02-17 18:00:00,1,1952
Chicago,,DISK,IL,1952-04-15 13:00:00,2,1952
Greenville,ORANGE,SpaceShip,TX,1952-04-15 16:00:00,2,1952
Pittsburgh,,CYLINDER,PA,1952-05-15 10:15:00,2,1952
Allyn,,DISK,WA,1952-05-15 20:00:00,2,1952
Dousman,,LIGHT,WI,1952-06-01 11:00:00,2,1952
Norfolk,RED,FIREBALL,VA,1952-06-01 22:00:00,2,1952
Evergreen,,DISK,CO,1952-06-06 13:00:00,1,1952
Chicago,,CIRCLE,IL,1952-06-10 12:00:00,1,1952
Fortville,,DISK,IN,1952-06-13 07:30:00,1,1952
Luke Airforce Base,,EGG,AZ,1952-06-15 00:00:00,4,1952
Piedra Blanka,,CIGAR,CA,1952-06-15 00:00:00,4,1952
Jacksonville,,SpaceShip,FL,1952-06-15 21:00:00,4,1952
Maywood,,CIRCLE,CA,1952-06-15 23:00:00,4,1952
Lansing,,OTHER,MI,1952-06-21 22:00:00,1,1952
Chester,,OVAL,PA,1952-06-22 17:45:00,1,1952
Cheyenne,,DISK,WY,1952-06-30 00:00:00,9,1952
Pecos,,DISK,TX,1952-06-30 03:00:00,9,1952
Barksdale AFB,,LIGHT,LA,1952-06-30 06:00:00,9,1952
Miami,,LIGHT,FL,1952-06-30 09:00:00,9,1952
New York City,,DISK,NY,1952-06-30 13:00:00,9,1952
Auburn,,OVAL,WA,1952-06-30 18:30:00,9,1952
Miami,,DISK,FL,1952-06-30 21:00:00,9,1952
Miami,,DISK,FL,1952-06-30 21:00:00,9,1952
Miami,,LIGHT,FL,1952-06-30 21:00:00,9,1952
Sebeka,,OTHER,MN,1952-07-01 15:00:00,2,1952
Detroit,,SPHERE,MI,1952-07-01 22:00:00,2,1952
Tacoma,,SPHERE,WA,1952-07-05 16:00:00,1,1952
Evergreen,,CIRCLE,CO,1952-07-07 10:00:00,2,1952
Arlington,,DISK,TX,1952-07-07 13:00:00,2,1952
Arlington,GREEN,OVAL,VA,1952-07-13 21:00:00,1,1952
Wilmington,,DISK,CA,1952-07-15 12:00:00,6,1952
,,DISK,CA,1952-07-15 12:30:00,6,1952
Litchfield,,OTHER,PA,1952-07-15 13:00:00,6,1952
South Gate,,CIRCLE,CA,1952-07-15 14:00:00,6,1952
North Bend,,OTHER,WA,1952-07-15 18:30:00,6,1952
New York City,,OTHER,NY,1952-07-15 19:00:00,6,1952
Okolona,,OVAL,MS,1952-07-22 09:30:00,1,1952
Tacoma,,SPHERE,WA,1952-07-25 16:00:00,1,1952
Manville,,SPHERE,RI,1952-07-30 15:00:00,1,1952
Tampa,,OVAL,FL,1952-08-01 21:30:00,1,1952
Smithson's Valley,,CIGAR,TX,1952-08-15 17:00:00,3,1952
Prairie Grove,,DISK,AR,1952-08-15 17:30:00,3,1952
Hamilton,,LIGHT,OH,1952-08-15 22:15:00,3,1952
Philadelphia,,CIRCLE,PA,1952-09-09 20:00:00,1,1952
Norridgewock,,DISK,ME,1952-09-15 14:00:00,1,1952
Kansas City,,DISK,MO,1952-10-01 12:00:00,1,1952
Richland,,CIRCLE,WA,1952-10-15 21:00:00,1,1952
Chicago,,OTHER,IL,1952-12-06 19:00:00,1,1952
Camp McCoy,,CYLINDER,WI,1952-12-30 12:00:00,1,1952
Nebraska,,LIGHT,NE,1953-01-01 00:00:00,2,1953
Oklahoma,,CIGAR,TX,1953-01-01 14:00:00,2,1953
Palm Springs,,LIGHT,CA,1953-03-15 00:00:00,1,1953
Haverhill,,CHEVRON,MA,1953-04-01 15:00:00,2,1953
Cambridge,RED,SPHERE,MA,1953-04-01 18:00:00,2,1953
Chariton,,OTHER,IA,1953-04-10 13:00:00,1,1953
Los Angeles,,FIREBALL,CA,1953-04-15 12:00:00,2,1953
Midwest City,YELLOW,FIREBALL,OK,1953-04-15 16:00:00,2,1953
Jamison,,CIGAR,PA,1953-04-30 16:00:00,1,1953
Kingman,,LIGHT,AZ,1953-05-20 08:00:00,1,1953
Fresno,,LIGHT,CA,1953-06-01 21:00:00,1,1953
Roswell,,LIGHT,NM,1953-06-15 00:00:00,4,1953
Wenatchee,,DISK,WA,1953-06-15 12:00:00,4,1953
Fort Worth,,SPHERE,TX,1953-06-15 13:00:00,4,1953
North Bend,,CIRCLE,WA,1953-06-15 18:00:00,4,1953
Galveston,,CIGAR,TX,1953-06-17 07:30:00,1,1953
Cleveland,RED,FIREBALL,OH,1953-06-30 00:00:00,2,1953
Kelso,,OVAL,WA,1953-06-30 15:00:00,2,1953
Colorado Springs,,DISK,CO,1953-07-01 05:30:00,1,1953
,BLUE,DISK,MT,1953-07-04 14:00:00,2,1953
Ogallala,,OTHER,NE,1953-07-04 21:00:00,2,1953
Nashville,,CYLINDER,TN,1953-07-15 13:00:00,1,1953
Dublin,,CONE,IN,1953-07-17 22:00:00,1,1953
Berkeley,,FIREBALL,MO,1953-08-01 12:00:00,2,1953
"San Bernadino Mtns, Church Camp",,DISK,CA,1953-08-01 14:00:00,2,1953
Vallejo,,LIGHT,CA,1953-08-07 21:00:00,1,1953
Louisville,,CIRCLE,KY,1953-08-15 11:00:00,3,1953
Artesia,ORANGE,OTHER,NM,1953-08-15 19:00:00,3,1953
Bowleys Quarters,,SPHERE,MD,1953-08-15 21:00:00,3,1953
Homer,,LIGHT,PA,1953-09-15 14:00:00,1,1953
Mauriceville,,DISK,TX,1953-10-15 14:00:00,1,1953
New Orleans,,OVAL,LA,1953-10-31 19:00:00,1,1953
Cicero,,OTHER,IL,1953-11-13 20:00:00,1,1953
Keansburg,,CIRCLE,NJ,1953-11-15 03:00:00,1,1953
Pendleton,GREEN,DISK,IN,1953-11-21 22:30:00,1,1953
Lackland Air Force Base,,DISK,TX,1953-11-25 04:25:00,1,1953
Brunswick,,LIGHT,ME,1954-01-01 00:00:00,3,1954
Lakeland,,DISK,FL,1954-01-01 01:00:00,3,1954
Souix City,,CIRCLE,IA,1954-01-01 22:00:00,3,1954
Santa Monica,,LIGHT,CT,1954-01-15 20:00:00,1,1954
Fairbanks,,LIGHT,AK,1954-02-01 02:00:00,1,1954
Burney,,DISK,CA,1954-02-15 19:30:00,1,1954
Stanford Campus,,DISK,CA,1954-04-01 22:00:00,1,1954
Corvallis,,DIAMOND,OR,1954-05-15 12:00:00,1,1954
Quincy,,DISK,IL,1954-05-26 04:30:00,1,1954
Houston,,DISK,TX,1954-06-01 00:00:00,8,1954
Ovid,,DISK,NY,1954-06-01 06:00:00,8,1954
Springfield,,CYLINDER,IL,1954-06-01 08:00:00,8,1954
El Cerrito,,LIGHT,CA,1954-06-01 19:00:00,8,1954
Toledo,,DISK,OH,1954-06-01 19:00:00,8,1954
Norfolk,,DISK,VA,1954-06-01 20:00:00,8,1954
Philadelphia,,DISK,PA,1954-06-01 20:00:00,8,1954
Fish Canyon,,LIGHT,CA,1954-06-01 23:00:00,8,1954
Atlanta,,DISK,GA,1954-06-06 10:00:00,1,1954
Estes Park,,CIGAR,CO,1954-06-10 20:00:00,1,1954
Glenburn,,LIGHT,ME,1954-06-11 02:00:00,1,1954
Palm Beach,,LIGHT,CA,1954-06-15 11:00:00,3,1954
Claymont,,DISK,DE,1954-06-15 11:45:00,3,1954
Ellington AFB,,DISK,TX,1954-06-15 16:30:00,3,1954
Lorton,,OTHER,VA,1954-06-23 02:00:00,2,1954
Langley Air Force Base,,CIRCLE,VA,1954-06-23 23:00:00,2,1954
Thrifty,,CIRCLE,TX,1954-06-25 03:30:00,1,1954
Marion,,CIRCLE,VA,1954-06-30 00:00:00,4,1954
Methuen,,LIGHT,MA,1954-06-30 00:00:00,4,1954
Hawthorne,,LIGHT,CA,1954-06-30 12:00:00,4,1954
Pasadena,,CIRCLE,CA,1954-06-30 15:00:00,4,1954
St. Louis Airport,RED,OVAL,MO,1954-07-01 21:00:00,2,1954
Los Angeles,RED,CIRCLE,CA,1954-07-01 22:00:00,2,1954
Walnut Creek,,LIGHT,CA,1954-07-07 20:00:00,2,1954
West Columbia,,FORMATION,SC,1954-07-07 22:00:00,2,1954
Morroco,,VARIOUS,IN,1954-07-12 17:30:00,1,1954
Philadelphia,,DISK,PA,1954-07-15 11:00:00,5,1954
Greenfield,,CIGAR,IN,1954-07-15 14:00:00,5,1954
Kansas City,,CHEVRON,KS,1954-07-15 21:00:00,5,1954
Oakdale,,DISK,NY,1954-07-15 21:00:00,5,1954
Bridge Hampton,,LIGHT,NY,1954-07-15 22:00:00,5,1954
Farmingdale,,OVAL,NY,1954-08-01 12:00:00,4,1954
Dyer,,SpaceShip,IN,1954-08-01 17:00:00,4,1954
Canton,,DISK,PA,1954-08-01 21:00:00,4,1954
North Hollywood,,LIGHT,CA,1954-08-01 22:00:00,4,1954
Puyallup,,OVAL,WA,1954-08-15 21:00:00,1,1954
Geneva,,DISK,NY,1954-09-01 13:00:00,1,1954
Beaumont,RED,DISK,TX,1954-09-09 12:30:00,1,1954
Palmer Township,,OTHER,PA,1954-09-15 09:30:00,1,1954
Flatwoods,,CIRCLE,WV,1954-10-01 19:00:00,1,1954
Blanco,,OTHER,TX,1954-10-15 16:30:00,2,1954
Manistee,,CIRCLE,MI,1954-10-15 21:30:00,2,1954
Denver,,FIREBALL,CO,1954-11-01 18:30:00,1,1954
Thelma,,DISK,TX,1954-11-14 01:00:00,1,1954
Red Bank,ORANGE,CIRCLE,NJ,1954-12-15 23:10:00,1,1954
Yucaipa,,OVAL,CA,1954-12-16 16:50:00,1,1954
New York City,,LIGHT,NY,1955-02-15 19:00:00,1,1955
Holbrook,YELLOW,EGG,MA,1955-05-01 15:00:00,1,1955
Warrington,,FIREBALL,FL,1955-05-15 03:00:00,1,1955
Homaland,,CIRCLE,CA,1955-06-01 00:00:00,5,1955
Bagley,,CIRCLE,MN,1955-06-01 02:00:00,5,1955
Cincinnati,,DISK,OH,1955-06-01 15:29:00,5,1955
Martinez,,CIRCLE,CA,1955-06-01 17:00:00,5,1955
Clinton,,EGG,TN,1955-06-01 20:30:00,5,1955
Pensacola,,LIGHT,FL,1955-06-06 01:00:00,1,1955
South St. Paul,,DISK,MN,1955-06-15 00:00:00,5,1955
Terre Haute,ORANGE,CIRCLE,IN,1955-06-15 00:00:00,5,1955
Missouri,,LIGHT,MO,1955-06-15 04:30:00,5,1955
Youngstown,,LIGHT,PA,1955-06-15 08:00:00,5,1955
Daytona Beach,,FIREBALL,FL,1955-06-15 21:00:00,5,1955
Rantoul,,LIGHT,IL,1955-06-17 07:00:00,1,1955
Beach Haven Park,,DISK,NJ,1955-06-23 07:00:00,1,1955
Quartz Hill,,DISK,CA,1955-06-30 00:00:00,4,1955
Lubbock,,CIGAR,TX,1955-06-30 13:00:00,4,1955
Dumas,,LIGHT,TX,1955-06-30 21:00:00,4,1955
Morehead City,,DISK,NC,1955-06-30 21:00:00,4,1955
Carnation,,DISK,WA,1955-07-01 14:00:00,2,1955
Dierks,,CIGAR,AR,1955-07-01 22:00:00,2,1955
Woodland Park,,OVAL,CO,1955-07-15 14:00:00,2,1955
Ringold,,LIGHT,LA,1955-07-15 22:00:00,2,1955
Newtown Square,,CIRCLE,PA,1955-08-06 19:00:00,1,1955
Independence,,FIREBALL,MO,1955-08-08 01:00:00,1,1955
Madisonville,,LIGHT,KY,1955-08-14 01:00:00,1,1955
Eagle Pass,,CIGAR,TX,1955-08-15 00:01:00,1,1955
Covina,,DISK,CA,1955-08-17 21:00:00,1,1955
Bullhead,,DISK,AZ,1955-09-10 23:00:00,1,1955
Mono Lake,,CIRCLE,CA,1955-10-01 22:00:00,1,1955
West Covina,GREEN,LIGHT,CA,1955-10-09 18:00:00,1,1955
Rhinebeck,,LIGHT,NY,1955-10-15 20:00:00,1,1955
Weirton,,DISK,WV,1956-01-01 05:30:00,1,1956
Petaluma,,OVAL,CA,1956-03-01 13:00:00,1,1956
Bowie,,DISK,MD,1956-03-20 20:00:00,1,1956
Hampton,,SPHERE,MN,1956-03-22 17:30:00,1,1956
Canton,,CIGAR,OH,1956-05-01 12:00:00,1,1956
Pine castle AFB,,LIGHT,FL,1956-05-15 20:00:00,1,1956
Ada,,CIRCLE,OK,1956-05-17 10:22:00,1,1956
Belton,,OTHER,MO,1956-06-01 19:00:00,2,1956
Memphis,ORANGE,CYLINDER,TN,1956-06-01 20:00:00,2,1956
Elmore,,SPHERE,AL,1956-06-05 00:00:00,2,1956
Salt Lake City,,CIRCLE,UT,1956-06-05 00:00:00,2,1956
Upper Glade,,EGG,WV,1956-06-06 12:00:00,2,1956
Akron,,OTHER,OH,1956-06-06 22:00:00,2,1956
Edroy,,LIGHT,TX,1956-06-15 01:00:00,9,1956
San Francisco,,OTHER,CA,1956-06-15 12:15:00,9,1956
Palo Alto,,FIREBALL,CA,1956-06-15 18:00:00,9,1956
Richfield Springs,,CIGAR,NY,1956-06-15 18:00:00,9,1956
Vista,ORANGE,CIGAR,CA,1956-06-15 19:15:00,9,1956
Farragut,,CIGAR,TN,1956-06-15 20:00:00,9,1956
Tulsa,,FLASH,OK,1956-06-15 20:00:00,9,1956
Salem,,DISK,NJ,1956-06-15 20:32:00,9,1956
New York City,,LIGHT,NY,1956-06-15 21:00:00,9,1956
Cincinnati,,DISK,OH,1956-06-16 13:00:00,1,1956
Madera,,SPHERE,CA,1956-06-24 14:00:00,1,1956
Willow Grove,,LIGHT,PA,1956-06-30 01:00:00,4,1956
Cape Girardeau,,DIAMOND,MO,1956-06-30 13:00:00,4,1956
New Brunswick,,DISK,NJ,1956-06-30 16:00:00,4,1956
Houston,,SpaceShip,TX,1956-06-30 18:30:00,4,1956
Beatrice,,OTHER,NE,1956-07-01 16:00:00,1,1956
Wichita,,LIGHT,KS,1956-07-12 19:00:00,1,1956
Sacramento,,DISK,CA,1956-07-14 19:30:00,1,1956
East Hampton,,DISK,CT,1956-07-15 00:00:00,3,1956
Yellowstone Park,,DISK,WY,1956-07-15 00:00:00,3,1956
Sugarcreek,,DISK,OH,1956-07-15 05:00:00,3,1956
Harvard,,LIGHT,MA,1956-08-01 20:00:00,2,1956
Bradford,YELLOW,SPHERE,AL,1956-08-01 23:30:00,2,1956
Norfolk,,CIGAR,VA,1956-09-09 05:55:00,1,1956
Middle River,BLUE,CIRCLE,MD,1956-09-15 20:00:00,1,1956
Hope,,CIRCLE,AR,1956-09-20 16:00:00,1,1956
Greenwich,,LIGHT,CT,1956-09-21 00:00:00,1,1956
Newport,,RECTANGLE,NH,1956-10-01 19:00:00,1,1956
Edna,,CIRCLE,TX,1956-10-10 21:00:00,1,1956
Mt. Vernon,,DISK,IN,1956-10-15 21:30:00,1,1956
Aberdeen,ORANGE,CIRCLE,SD,1956-11-15 18:30:00,1,1956
Painsville,,RECTANGLE,OH,1956-11-27 22:00:00,1,1956
Columbus,,FORMATION,OH,1956-12-01 23:00:00,1,1956
Dallas,,LIGHT,TX,1957-01-01 21:00:00,1,1957
Jena,,SPHERE,LA,1957-03-05 19:30:00,1,1957
Fort Devans,,OVAL,MA,1957-03-07 04:00:00,1,1957
Los Angeles,,FORMATION,CA,1957-03-15 13:00:00,2,1957
Los Angeles,,DISK,CA,1957-03-15 15:00:00,2,1957
Canton,,CIGAR,OH,1957-05-01 12:00:00,1,1957
Rhinebeck,,DIAMOND,NY,1957-05-25 13:00:00,1,1957
Union Bower are irving,,FORMATION,TX,1957-06-01 00:00:00,5,1957
El Paso,,DISK,TX,1957-06-01 10:00:00,5,1957
E. Los Angeles,,LIGHT,CA,1957-06-01 12:00:00,5,1957
Glens Falls,,DISK,NY,1957-06-01 20:00:00,5,1957
Irving,,LIGHT,TX,1957-06-01 22:00:00,5,1957
Hicksville,,CIRCLE,NY,1957-06-06 22:00:00,1,1957
Green Lake,,OVAL,MI,1957-06-12 19:00:00,1,1957
Livermore Falls,,DIAMOND,ME,1957-06-14 10:00:00,1,1957
Great Falls,,LIGHT,MT,1957-06-15 00:00:00,3,1957
Hartford City,,DISK,IN,1957-06-15 13:00:00,3,1957
Walled Lake,,CYLINDER,MI,1957-06-15 23:30:00,3,1957
San Leandro,,LIGHT,CA,1957-06-19 21:00:00,1,1957
Lubbock,,SpaceShip,TX,1957-06-21 17:00:00,2,1957
